date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:37	166/166	---M--	502	error ('Bad%20Gateway')	text/html	date:Sun,%2006%20Nov%202016%2013:22:37%20GMT	http://static.livedemo00.template-help.com/robots.txt		(from )
16:22:37	26589/26589	---MCZ	200	added ('OK')	text/html	etag:W/%2257c0426b-67dd%22	http://static.livedemo00.template-help.com/wt_58735/	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/index.html	(from )
16:22:37	894/894	---M--	200	added ('OK')	image/x-icon	etag:%22577e167e-37e%22	http://static.livedemo00.template-help.com/wt_58735/images/favicon.ico	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/images/favicon.ico	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:41	26589/26589	---MCZ	200	added ('OK')	text/html	etag:W/%2257c0426b-67dd%22	http://static.livedemo00.template-help.com/wt_58735/index.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/index-2.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:44	26912/26912	---MCZ	200	added ('OK')	text/html	etag:W/%22577e167e-6920%22	http://static.livedemo00.template-help.com/wt_58735/about.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/about.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:44	807026/807026	---MCZ	200	added ('OK')	text/css	etag:W/%22577e167e-c5072%22	http://static.livedemo00.template-help.com/wt_58735/css/style.css	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/css/style.css	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:44	4780/4780	---M--	200	added ('OK')	image/png	etag:%22577e167e-12ac%22	http://static.livedemo00.template-help.com/wt_58735/images/header-logo-268x57.png	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/images/header-logo-268x57.png	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:45	30680/30680	---MCZ	200	added ('OK')	text/html	etag:W/%22577e167e-77d8%22	http://static.livedemo00.template-help.com/wt_58735/planning.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/planning.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:45	7156/7156	---M--	200	added ('OK')	image/png	etag:%22577e167e-1bf4%22	http://static.livedemo00.template-help.com/wt_58735/images/header-logo-mobile-268x57.png	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/images/header-logo-mobile-268x57.png	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:45	23889/23889	---MCZ	200	added ('OK')	text/html	etag:W/%22577e167e-5d51%22	http://static.livedemo00.template-help.com/wt_58735/advice.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/advice.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:46	25898/25898	---MCZ	200	added ('OK')	text/html	etag:W/%22577e167e-652a%22	http://static.livedemo00.template-help.com/wt_58735/single-post.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/single-post.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:46	19729/19729	---MCZ	200	added ('OK')	text/html	etag:W/%22577e167e-4d11%22	http://static.livedemo00.template-help.com/wt_58735/books.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/books.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:46	15402/15402	---MCZ	200	added ('OK')	text/html	etag:W/%22577e167e-3c2a%22	http://static.livedemo00.template-help.com/wt_58735/video.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/video.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:46	17544/17544	---MCZ	200	added ('OK')	text/html	etag:W/%22577e167e-4488%22	http://static.livedemo00.template-help.com/wt_58735/contacts.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/contacts.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:47	51123/51123	---MCZ	200	added ('OK')	text/html	etag:W/%22577e167e-c7b3%22	http://static.livedemo00.template-help.com/wt_58735/free-consultation.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/free-consultation.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:48	6383/6383	---M--	200	added ('OK')	image/jpeg	etag:%22577e167e-18ef%22	http://static.livedemo00.template-help.com/wt_58735/images/home-5-114x114.jpg	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/images/home-5-114x114.jpg	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:48	4525/4525	---M--	200	added ('OK')	image/jpeg	etag:%22577e167e-11ad%22	http://static.livedemo00.template-help.com/wt_58735/images/home-6-114x114.jpg	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/images/home-6-114x114.jpg	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:48	3851/3851	---M--	200	added ('OK')	image/jpeg	etag:%22577e167e-f0b%22	http://static.livedemo00.template-help.com/wt_58735/images/home-7-114x114.jpg	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/images/home-7-114x114.jpg	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:49	21392/21392	---MCZ	200	added ('OK')	text/html	etag:W/%22577e167e-5390%22	http://static.livedemo00.template-help.com/wt_58735/privacy.html	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/privacy.html	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:49	4734/4734	---M--	200	added ('OK')	image/png	etag:%22577e167e-127e%22	http://static.livedemo00.template-help.com/wt_58735/images/footer-logo-266x55.png	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/images/footer-logo-266x55.png	(from http://static.livedemo00.template-help.com/wt_58735/)
16:22:53	51638/51638	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22577e167e-c9b6%22	http://static.livedemo00.template-help.com/wt_58735/js/script.js	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/js/script.js	(from http://static.livedemo00.template-help.com/wt_58735/)
16:23:01	893019/893019	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22577e167e-da05b%22	http://static.livedemo00.template-help.com/wt_58735/js/core.min.js	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/js/core.min.js	(from http://static.livedemo00.template-help.com/wt_58735/)
16:23:04	20127/20127	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%22577e167e-4e9f%22	http://static.livedemo00.template-help.com/wt_58735/fonts/glyphicons-halflings-regular.eot?	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/fonts/glyphicons-halflings-regulard41d.eot	(from http://static.livedemo00.template-help.com/wt_58735/css/style.css)
16:23:05	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22577e167e-1a8c2%22	http://static.livedemo00.template-help.com/wt_58735/fonts/glyphicons-halflings-regular.svg	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/fonts/glyphicons-halflings-regular.svg	(from http://static.livedemo00.template-help.com/wt_58735/css/style.css)
16:23:05	23424/23424	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%22577e167e-5b80%22	http://static.livedemo00.template-help.com/wt_58735/fonts/glyphicons-halflings-regular.woff	C:/Users/gleam/Desktop/qq/renat-02/static.livedemo00.template-help.com/wt_58735/fonts/glyphicons-halflings-regular.woff	(from http://static.livedemo00.template-help.com/wt_58735/css/style.css)
