date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:58:11	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2233c2800-1a-4a8a787408540%22	http://livedemo00.template-help.com/robots.txt		(from )
19:58:11	11026/11026	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Nov%202016%2016:58:11%20GMT	http://livedemo00.template-help.com/wt_52524/	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/index.html	(from )
19:58:11	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:11%20GMT	http://livedemo00.template-help.com/wt_52524/images/favicon.ico	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/images/favicon.ico	(from http://livedemo00.template-help.com/wt_52524/)
19:58:11	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:11%20GMT	http://livedemo00.template-help.com/wt_52524/css/grid.css	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/css/grid.css	(from http://livedemo00.template-help.com/wt_52524/)
19:58:12	5800/5800	---MCZ	200	added ('OK')	text/css	etag:W/%225465ba57-16a8%22	http://static.livedemo00.template-help.com/wt_52524/css/grid.css	D:/work/renat-02/renat-02/static.livedemo00.template-help.com/wt_52524/css/grid.css	(from http://livedemo00.template-help.com/wt_52524/)
19:58:12	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:12%20GMT	http://livedemo00.template-help.com/wt_52524/css/style.css	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/css/style.css	(from http://livedemo00.template-help.com/wt_52524/)
19:58:12	15810/15810	---MCZ	200	added ('OK')	text/css	etag:W/%22549446c0-3dc2%22	http://static.livedemo00.template-help.com/wt_52524/css/style.css	D:/work/renat-02/renat-02/static.livedemo00.template-help.com/wt_52524/css/style.css	(from http://livedemo00.template-help.com/wt_52524/)
19:58:12	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:12%20GMT	http://livedemo00.template-help.com/wt_52524/css/camera.css	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/css/camera.css	(from http://livedemo00.template-help.com/wt_52524/)
19:58:13	10516/10516	---MCZ	200	added ('OK')	text/css	etag:W/%2254942a12-2914%22	http://static.livedemo00.template-help.com/wt_52524/css/camera.css	D:/work/renat-02/renat-02/static.livedemo00.template-help.com/wt_52524/css/camera.css	(from http://livedemo00.template-help.com/wt_52524/)
19:58:13	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:13%20GMT	http://livedemo00.template-help.com/wt_52524/css/owl.carousel.css	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/css/owl.carousel.css	(from http://livedemo00.template-help.com/wt_52524/)
19:58:13	2855/2855	---MCZ	200	added ('OK')	text/css	etag:W/%2254942b36-b27%22	http://static.livedemo00.template-help.com/wt_52524/css/owl.carousel.css	D:/work/renat-02/renat-02/static.livedemo00.template-help.com/wt_52524/css/owl.carousel.css	(from http://livedemo00.template-help.com/wt_52524/)
19:58:13	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:13%20GMT	http://livedemo00.template-help.com/wt_52524/js/jquery.js	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/js/jquery.js	(from http://livedemo00.template-help.com/wt_52524/)
19:58:15	95790/95790	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22571f4ffc-1762e%22	http://static.livedemo00.template-help.com/wt_52524/js/jquery.js	D:/work/renat-02/renat-02/static.livedemo00.template-help.com/wt_52524/js/jquery.js	(from http://livedemo00.template-help.com/wt_52524/)
19:58:15	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:14%20GMT	http://livedemo00.template-help.com/wt_52524/js/jquery-migrate-1.2.1.js	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/js/jquery-migrate-1.2.1.js	(from http://livedemo00.template-help.com/wt_52524/)
19:58:15	17140/17140	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22521c6134-42f4%22	http://static.livedemo00.template-help.com/wt_52524/js/jquery-migrate-1.2.1.js	D:/work/renat-02/renat-02/static.livedemo00.template-help.com/wt_52524/js/jquery-migrate-1.2.1.js	(from http://livedemo00.template-help.com/wt_52524/)
19:58:15	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:15%20GMT	http://livedemo00.template-help.com/wt_52524/js/camera.js	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/js/camera.js	(from http://livedemo00.template-help.com/wt_52524/)
19:58:15	69619/69619	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225476f6e6-10ff3%22	http://static.livedemo00.template-help.com/wt_52524/js/camera.js	D:/work/renat-02/renat-02/static.livedemo00.template-help.com/wt_52524/js/camera.js	(from http://livedemo00.template-help.com/wt_52524/)
19:58:15	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:16%20GMT	http://livedemo00.template-help.com/wt_52524/js/owl.carousel.js	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/js/owl.carousel.js	(from http://livedemo00.template-help.com/wt_52524/)
19:58:16	52797/52797	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2253714332-ce3d%22	http://static.livedemo00.template-help.com/wt_52524/js/owl.carousel.js	D:/work/renat-02/renat-02/static.livedemo00.template-help.com/wt_52524/js/owl.carousel.js	(from http://livedemo00.template-help.com/wt_52524/)
19:58:16	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Nov%202016%2016:58:16%20GMT	http://livedemo00.template-help.com/wt_52524/js/jquery.stellar.js	D:/work/renat-02/renat-02/livedemo00.template-help.com/wt_52524/js/jquery.stellar.js	(from http://livedemo00.template-help.com/wt_52524/)
